fid,prow,pcol,grow,prow_pcol_grow,exp,plot.x,sub_plot,exp_plot_subplot,exp_plot,experiment,plot.y,oatName,peaName,pea_type,oat_percent,pea_percent
165,2,12,3,2_12_3,diversity,70,1,diversity_70_1,diversity70,diversity,70,SD191467,NDP140510Y,field,75,75
166,2,13,1,2_13_1,diversity,69,3,diversity_69_3,diversity69,diversity,69,HORSEPOWER,Frostmaster Peas,forage,75,75
167,2,13,2,2_13_2,diversity,69,2,diversity_69_2,diversity69,diversity,69,HORSEPOWER,Frostmaster Peas,forage,75,75
168,2,13,3,2_13_3,diversity,69,1,diversity_69_1,diversity69,diversity,69,HORSEPOWER,Frostmaster Peas,forage,75,75
169,2,14,1,2_14_1,diversity,68,3,diversity_68_3,diversity68,diversity,68,COLT,DS Admiral,field,75,75
170,2,14,2,2_14_2,diversity,68,2,diversity_68_2,diversity68,diversity,68,COLT,DS Admiral,field,75,75
171,2,14,3,2_14_3,diversity,68,1,diversity_68_1,diversity68,diversity,68,COLT,DS Admiral,field,75,75
172,2,15,1,2_15_1,diversity,67,3,diversity_67_3,diversity67,diversity,67,SD170935,Frostmaster Peas,forage,75,75
173,2,15,2,2_15_2,diversity,67,2,diversity_67_2,diversity67,diversity,67,SD170935,Frostmaster Peas,forage,75,75
174,2,15,3,2_15_3,diversity,67,1,diversity_67_1,diversity67,diversity,67,SD170935,Frostmaster Peas,forage,75,75
175,2,16,1,2_16_1,diversity,66,3,diversity_66_3,diversity66,diversity,66,EXCEL,NDP140510Y,field,75,75
176,2,16,2,2_16_2,diversity,66,2,diversity_66_2,diversity66,diversity,66,EXCEL,NDP140510Y,field,75,75
177,2,16,3,2_16_3,diversity,66,1,diversity_66_1,diversity66,diversity,66,EXCEL,NDP140510Y,field,75,75
178,2,17,1,2_17_1,diversity,65,3,diversity_65_3,diversity65,diversity,65,ESKER,Icicle Winter Peas,forage,75,75
179,2,17,2,2_17_2,diversity,65,2,diversity_65_2,diversity65,diversity,65,ESKER,Icicle Winter Peas,forage,75,75
180,2,17,3,2_17_3,diversity,65,1,diversity_65_1,diversity65,diversity,65,ESKER,Icicle Winter Peas,forage,75,75
181,2,18,1,2_18_1,diversity,64,3,diversity_64_3,diversity64,diversity,64,CORRAL,NDP150412G,field,75,75
182,2,18,2,2_18_2,diversity,64,2,diversity_64_2,diversity64,diversity,64,CORRAL,NDP150412G,field,75,75
183,2,18,3,2_18_3,diversity,64,1,diversity_64_1,diversity64,diversity,64,CORRAL,NDP150412G,field,75,75
184,2,19,1,2_19_1,diversity,63,3,diversity_63_3,diversity63,diversity,63,HAYDEN,NDP150231Y,field,75,75
185,2,19,2,2_19_2,diversity,63,2,diversity_63_2,diversity63,diversity,63,HAYDEN,NDP150231Y,field,75,75
186,2,19,3,2_19_3,diversity,63,1,diversity_63_1,diversity63,diversity,63,HAYDEN,NDP150231Y,field,75,75
187,2,20,1,2_20_1,diversity,62,3,diversity_62_3,diversity62,diversity,62,IL15-5752,Frostmaster Peas,forage,75,75
188,2,20,2,2_20_2,diversity,62,2,diversity_62_2,diversity62,diversity,62,IL15-5752,Frostmaster Peas,forage,75,75
189,2,20,3,2_20_3,diversity,62,1,diversity_62_1,diversity62,diversity,62,IL15-5752,Frostmaster Peas,forage,75,75
190,2,21,1,2_21_1,diversity,61,3,diversity_61_3,diversity61,diversity,61,IL17-1253,ND Victory,field,75,75
191,2,21,2,2_21_2,diversity,61,2,diversity_61_2,diversity61,diversity,61,IL17-1253,ND Victory,field,75,75
192,2,21,3,2_21_3,diversity,61,1,diversity_61_1,diversity61,diversity,61,IL17-1253,ND Victory,field,75,75
193,2,22,1,2_22_1,guard,OG_5,3,guard_OG_5_3,guardOG_5,guard,OG_5,Steuben,na,na,100,na
194,2,22,2,2_22_2,guard,OG_5,2,guard_OG_5_2,guardOG_5,guard,OG_5,Steuben,na,na,100,na
195,2,22,3,2_22_3,guard,OG_5,1,guard_OG_5_1,guardOG_5,guard,OG_5,Steuben,na,na,100,na
196,2,23,1,2_23_1,density,80,3,density_80_3,density80,density,80,IL17-7339,AUSTRIAN FIELD PEAS,na,50,0
